Lieu,Prix,Details,Lien,DerniereVue,Lat,Lon
Lille (Nord),643 CHF/mois,45 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A93j6zsmk2aazah1,2026-09-25,50.62229,3.04845
Lille (Nord),735 CHF/mois,55 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Acdvfcs6oci7lg3w,2026-09-25,,
Lille (Nord),670 CHF/mois,39 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aq7tay9c2jhzdilh,2026-09-25,,
Lille (Nord),748 CHF/mois,25 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Azqvgu8zws4pt6v7,2026-09-25,,
Lille (Nord),759 CHF/mois,28 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Az1tzxbp3mmoz5la,2026-09-25,,
Lille (Nord),700 CHF/mois,43 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Aa4t3jueqkyf2t3u,2026-09-25,50.63674,3.02176
Lille (Nord),660 CHF/mois,33 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Anls6wykh3qqkhuq,2026-09-25,,
Lille (Nord),849 CHF/mois,28 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Azy887sbyeh2ftsj,2026-09-25,,
Lille (Nord),556 CHF/mois,27 m² - 3 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A0hp3d802dbxvuq5,2026-09-25,,
Lille (Nord),785 CHF/mois,49 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ah1nnn8dco21jj91,2026-09-25,,
Lille (Nord),704 CHF/mois,40 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A12jz7a1j4tie4wm,2026-09-25,,
Lille (Nord),698 CHF/mois,56 m² - 3 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Atuwu93nobu9qs7l,2026-09-25,,
Lille (Nord),649 CHF/mois,3 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Au7ui2ig64e4c18f,2026-09-25,,
Lille (Nord),462 CHF/mois,1 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/immobilier/lille/Az97bxjmlhz1vib5,2026-09-25,,
Lille (Nord),707 CHF/mois,30 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Apymk7kd0o3xu1au,2026-09-25,,
Lille (Nord),811 CHF/mois,48 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Atmvjp6edfm060sx,2026-09-25,,
Lille (Nord),801 CHF/mois,40 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A2vsuxbmil46b6v1,2026-09-25,,
Lille (Nord),500 CHF/mois,17 m²,https://www.vizzit.fr/fr/property/appartement/lille/Asjrxthgeqgaxre7,2026-09-25,50.63812,3.03438
Lille (Nord),672 CHF/mois,61 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/immobilier/lille/Ad8i1bfuljzach0p,2026-09-25,,
Lille (Nord),533 CHF/mois,29 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A2kvked53l3geg10,2026-09-25,,
Lille (Nord),528 CHF/mois,20 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ag9zavfs4ljys1me,2026-09-25,,
Lille (Nord),580 CHF/mois,23 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Am3w0bzqc7qge7pa,2026-09-25,,
Lille (Nord),613 CHF/mois,35 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Asbov6jvc2x0c305,2026-09-25,,
Lille (Nord),519 CHF/mois,24 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Axq9m5boudbgroop,2026-09-25,,
Lille (Nord),519 CHF/mois,18 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ash2t3rahlkm5qvt,2026-09-25,,
Lille (Nord),556 CHF/mois,27 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aq9a1nxyprtwi1o4,2026-09-25,,
Lille (Nord),589 CHF/mois,33 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A6dnfhq2bi0sa128,2026-09-25,,
Lille (Nord),500 CHF/mois,42 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Axa7ro7vkab1htcg,2026-09-25,,
Lille (Nord),566 CHF/mois,29 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A8iqt1n5mwqmgq1y,2026-09-25,,
Lille (Nord),434 CHF/mois,17 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A50o0kyxhz5it2lx,2026-09-25,,
Lille (Nord),566 CHF/mois,40 m² - 4 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aytapkzdchl8p5g0,2026-09-25,,
Lille (Nord),547 CHF/mois,31 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A2c9x0c6jhikyk8u,2026-09-25,,
Lille (Nord),613 CHF/mois,31 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Azs6epbkuys2rsg9,2026-09-25,,
Lille (Nord),542 CHF/mois,22 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Avs4zx0vevxshibg,2026-09-25,,
Lille (Nord),552 CHF/mois,24 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A3y8vbp4d6n1wrcl,2026-09-25,,
Lille (Nord),490 CHF/mois,21 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/A1qmccxpiqqo342s,2026-09-25,,
Lille (Nord),519 CHF/mois,24 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aq6czs7vwch3l070,2026-09-25,,
Lille (Nord),453 CHF/mois,12 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A53nhuolboldud5w,2026-09-25,,
Lille (Nord),575 CHF/mois,27 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A6h7ggmkj0p0augf,2026-09-25,,
Lille (Nord),490 CHF/mois,20 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A2lcs27ryia9kdlj,2026-09-25,,
Lille (Nord),523 CHF/mois,30 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/An7yb01eauurqceh,2026-09-25,,
Lille (Nord),465 CHF/mois,21 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A0htexapgjsy0cfq,2026-09-25,,
Lille (Nord),490 CHF/mois,19 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aq1acox7giwybivz,2026-09-25,,
Lille (Nord),519 CHF/mois,15 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Akv8y42c7kcvfrex,2026-09-25,,
Lille (Nord),613 CHF/mois,50 m² - 5 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Al60jqd922qvymao,2026-09-25,,
Lille (Nord),603 CHF/mois,40 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Azrc9fctaz0u2cv4,2026-09-25,,
Lille (Nord),519 CHF/mois,19 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Atiephs2mcg2ti1z,2026-09-25,,
Lille (Nord),575 CHF/mois,20 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Afmc7r0fakql3neh,2026-09-25,,
Lille (Nord),528 CHF/mois,30 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ak29u922qnro8ead,2026-09-25,,
Lille (Nord),434 CHF/mois,20 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A76x2qsvkcho4ihx,2026-09-25,,
Lille (Nord),437 CHF/mois,29 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A3si8j38691g6cyh,2026-09-25,,
Lille (Nord),471 CHF/mois,22 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Apst1az62qwqbrnh,2026-09-25,,
Lille (Nord),613 CHF/mois,27 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aha2ap5k8gmzract,2026-09-25,,
Lille (Nord),509 CHF/mois,18 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ame76nxscxesxqqa,2026-09-25,,
Lille (Nord),514 CHF/mois,18 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ah84543o5db8mmg1,2026-09-25,,
Lille (Nord),597 CHF/mois,39 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Akvacjfe1uombf70,2026-09-25,,
Lille (Nord),448 CHF/mois,28 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Ac7yvaxd3gvpvrpf,2026-09-25,,
Lille (Nord),490 CHF/mois,18 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ah4u0u6l92c37l1s,2026-09-25,,
Lille (Nord),462 CHF/mois,20 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ar4i0i8eizcradlz,2026-09-25,,
Lille (Nord),462 CHF/mois,70 m² - 3 pièces - 3 chambres,https://www.vizzit.fr/fr/property/immobilier/lille/Awl2a54ey4o4k2e1,2026-09-25,,
Lille (Nord),519 CHF/mois,22 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A6rjjon9vzb9smva,2026-09-25,,
Lille (Nord),462 CHF/mois,21 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Afi3bwkuh22vbe1c,2026-09-25,,
Lille (Nord),387 CHF/mois,14 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ahhzpj6jiulawd2p,2026-09-25,,
Lille (Nord),387 CHF/mois,18 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aj75mcudi3z99btr,2026-09-25,,
Lille (Nord),335 CHF/mois,16 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A7y08kbxq8p0luf3,2026-09-25,,
Lille (Nord),405 CHF/mois,13 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ar6kwnqv3b1jwo3p,2026-09-25,,
Lille (Nord),339 CHF/mois,29 m² - 2 pièces - 5 chambres,https://www.vizzit.fr/fr/property/immobilier/lille/Asvc573l9yb7ltt8,2026-09-25,,
Lille (Nord),387 CHF/mois,20 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Absr23hk9mc39l6d,2026-09-25,,
Lille (Nord),424 CHF/mois,20 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Axlicqcbs41xpqnj,2026-09-25,,
Lille (Nord),391 CHF/mois,20 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aqb76ui0xxdjc2hm,2026-09-25,,
Lille (Nord),424 CHF/mois,12 m² - Studio,https://www.vizzit.fr/fr/property/immobilier/lille/Ad7cgsach07xyksv,2026-09-25,,
Lille (Nord),410 CHF/mois,20 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ai1esk81zfyok73n,2026-09-25,,
Lille (Nord),387 CHF/mois,16 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Acskodrfdsz9fli1,2026-09-25,,
Lille (Nord),394 CHF/mois,14 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A0aug7pdyzdu8qy3,2026-09-25,,
Lille (Nord),314 CHF/mois,18 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ar8fhvhjm3ykfhkz,2026-09-25,,
Lille (Nord),417 CHF/mois,25 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Awgcc5fbxvpc6hzp,2026-09-25,,
Lille (Nord),1 282 CHF/mois,69 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/At5qzfouwr0chi69,2026-09-25,50.62566155205017,3.0654104906005575
Lille (Nord),639 CHF/mois,31 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A5xnxqizjkpixjpy,2026-09-25,50.6457296,3.0870638
Lille (Nord),1 179 CHF/mois,82 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/immobilier/lille/And7lqs941z792u7,2026-09-25,50.63019,3.03029
Lille (Nord),1 190 CHF/mois,65 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Awcelhius6n015cf,2026-09-25,50.62925,3.06567
Lille (Nord),1 131 CHF/mois,64 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Ag2bk3i2yageeg69,2026-09-25,50.62083,3.06485
Lille (Nord),566 CHF/mois,16 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Atrj3s5fnz2g4uno,2026-09-25,,
Lille (Nord),1 325 CHF/mois,64 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A4385ydg9wcczi70,2026-09-25,,
Lille (Nord),709 CHF/mois,44 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Awstd3s8l3mqyrur,2026-09-25,,
Lille (Nord),735 CHF/mois,30 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A41yfjlkf04hkj7g,2026-09-25,,
Lille (Nord),896 CHF/mois,47 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A29xzq33hcmd06c5,2026-09-25,,
Lille (Nord),1 311 CHF/mois,75 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Apergd9y1ppxp2zz,2026-09-25,,
Lille (Nord),566 CHF/mois,25 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Av0opoppbgv1kl6l,2026-09-25,,
Lille (Nord),792 CHF/mois,45 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Ac52nzm2r5hg7mwj,2026-09-25,,
Lille (Nord),817 CHF/mois,65 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Aa2auc3ipd2zppoa,2026-09-25,,
Lille (Nord),2 410 CHF/mois,191 m² - 3 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Av95izo0sbth4kwv,2026-09-25,,
Lille (Nord),618 CHF/mois,40 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A57h26bpxjix496z,2026-09-25,,
Lille (Nord),679 CHF/mois,36 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Axh7cb44gevj9fw5,2026-09-25,,
Lille (Nord),836 CHF/mois,59 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Akn75623jbdr11bw,2026-09-25,,
Lille (Nord),745 CHF/mois,46 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/A7n4o57xstk0jefe,2026-09-25,,
Lille (Nord),865 CHF/mois,44 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Au2gwvi9y56y7lmo,2026-09-25,,
Lille (Nord),368 CHF/mois,19 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Arjqhomze3jxy8qn,2026-09-25,,
Lille (Nord),415 CHF/mois,18 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ae19xerdxongtuno,2026-09-25,,
Lille (Nord),381 CHF/mois,16 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Ay6c2vfdes00i00q,2026-09-25,,
Lille (Nord),1 463 CHF/mois,77 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A5uinpfjhed1gv7u,2026-09-25,,
Lille (Nord),513 CHF/mois,23 m² - 7 pièces - 6 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Ac9jgbc7v1924ij4,2026-09-25,,
Lille (Nord),1 131 CHF/mois,70 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A8x9a0v12402di4f,2026-09-25,,
Lille (Nord),1 131 CHF/mois,54 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Asqs3swnwnboxq18,2026-09-25,,
Lille (Nord),553 CHF/mois,30 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Aycc4fgbz40cg5f2,2026-09-25,,
Lille (Nord),605 CHF/mois,46 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Actys4a7gcl9187x,2026-09-25,,
Lille (Nord),613 CHF/mois,11 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/A9k7mnjbl0iez3hv,2026-09-25,,
Lille (Nord),990 CHF/mois,39 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/As1vfv2tnj1o4v4n,2026-09-25,,
Lille (Nord),896 CHF/mois,30 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A1b13saopbq09qc4,2026-09-25,,
Lille (Nord),561 CHF/mois,32 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Auyelmg12ydhqm9h,2026-09-25,,
Lille (Nord),820 CHF/mois,39 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ao7b1omk71ei4c40,2026-09-25,,
Lille (Nord),750 CHF/mois,27 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A7qgk43z144wg7mi,2026-09-25,,
Lille (Nord),882 CHF/mois,42 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ajic3lqjutjtm4k4,2026-09-25,50.64911,3.06206
Lille (Nord),613 CHF/mois,24 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A5vq1btjbiljngjo,2026-09-25,50.63148,3.06038
Lille (Nord),1 050 CHF/mois,84 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Adets0x0hqvyiis9,2026-09-25,,
Lille (Nord),981 CHF/mois,62 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Adwd4pyqv46f5isl,2026-09-25,,
Lille (Nord),575 CHF/mois,31 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Aiageezqx5w4znhx,2026-09-25,,
Lille (Nord),622 CHF/mois,53 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Amzbra4d9ycl5teq,2026-09-25,,
Lille (Nord),453 CHF/mois,20 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Agea0007fr6zt3wt,2026-09-25,,
Lille (Nord),839 CHF/mois,41 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Anldqaq3etalwlz3,2026-09-25,,
Lille (Nord),424 CHF/mois,18 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Al77ekb9995zgn6p,2026-09-25,,
Lille (Nord),457 CHF/mois,24 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aydksfir7k19uop2,2026-09-25,,
Lille (Nord),938 CHF/mois,27 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aricbw38b1zhie32,2026-09-25,,
Lille (Nord),629 CHF/mois,41 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ahnq77sygyp538ow,2026-09-25,,
Lille (Nord),585 CHF/mois,25 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Afkl5ln033593koo,2026-09-25,,
Lille (Nord),368 CHF/mois,13 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Aao2oym8bf1yo6m1,2026-09-25,,
Lille (Nord),424 CHF/mois,20 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aaatcdh6j9ayig7j,2026-09-25,,
Lille (Nord),693 CHF/mois,37 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ai8umkbnntmrm7lt,2026-09-25,50.63005,3.03942
Lille (Nord),1 021 CHF/mois,48 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aurghugiooair5px,2026-09-25,,
Lille (Nord),707 CHF/mois,32 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Acknn4naek84w3yb,2026-09-25,,
Lille (Nord),2 459 CHF/mois,147 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A2t3cqufa9fd3wp4,2026-09-25,,
Lille (Nord),717 CHF/mois,36 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ao9irbphi6np3qz9,2026-09-25,,
Lille (Nord),891 CHF/mois,49 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A3hxpbir113d685l,2026-09-25,,
Lille (Nord),1 226 CHF/mois,60 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Apmwgzctq1hgeahh,2026-09-25,,
Lille (Nord),1 191 CHF/mois,67 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Ay78rq1335kwctss,2026-09-25,,
Lille (Nord),507 CHF/mois,35 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Ax0q90vimixtukus,2026-09-25,,
Lille (Nord),915 CHF/mois,64 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Acq4nj2h0cw7r2g7,2026-09-25,,
Lille (Nord),1 329 CHF/mois,88 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Aqosi4k9zndglj9w,2026-09-25,,
Lille (Nord),803 CHF/mois,41 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A1h4v7qjnm689nx4,2026-09-25,,
Lille (Nord),882 CHF/mois,42 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Adnt3x8c6e3t7nw3,2026-09-25,,
Lille (Nord),818 CHF/mois,50 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aev83n8uj2u5vzty,2026-09-25,,
Lille (Nord),1 226 CHF/mois,37 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Ax679m5lxvx2s22m,2026-09-25,,
Lille (Nord),866 CHF/mois,80 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Ap1jybiatr48ii3r,2026-09-25,,
Lille (Nord),2 752 CHF/mois,184 m² - 4 pièces - 3 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Awzwzidbzhecy6ls,2026-09-25,,
Lille (Nord),679 CHF/mois,27 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A7p74t8wg7vek9t2,2026-09-25,,
Lille (Nord),566 CHF/mois,28 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aayzho2fnq4wb2kv,2026-09-25,,
Lille (Nord),613 CHF/mois,30 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aagb80v96fkhq0c4,2026-09-25,50.6251,3.10919
Lille (Nord),1 037 CHF/mois,51 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Ai5bfb2r3frh1bpz,2026-09-25,,
Lille (Nord),537 CHF/mois,29 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ak1ry0ysgyq7zh3d,2026-09-25,,
Lille (Nord),745 CHF/mois,39 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Arhnqjxuskvy9bji,2026-09-25,,
Lille (Nord),696 CHF/mois,41 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Agmah9v6nrei9nzk,2026-09-25,50.63172,3.04783
Lille (Nord),547 CHF/mois,29 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Atpiyg8g1hbh3zdy,2026-09-25,,
Lille (Nord),1 021 CHF/mois,48 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/A7t2cf5sqipb6n6c,2026-09-25,50.635247,3.05416
Lille (Nord),411 CHF/mois,17 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A64aac5jao6usqy1,2026-09-25,50.62284,3.03748
Lille (Nord),792 CHF/mois,51 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Ayn67zyxk6ersfae,2026-09-25,50.6447,3.06097
Lille (Nord),977 CHF/mois,71 m² - 3 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Abx0b9i9s8wxh7vg,2026-09-25,50.63078,3.03722
Lille (Nord),813 CHF/mois,66 m² - 3 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Adizvwafz469xvtf,2026-09-25,,
Lille (Nord),707 CHF/mois,32 m² - 1 pièce,https://www.vizzit.fr/fr/property/appartement/lille/Av73ha73ybxp4b53,2026-09-25,,
Lille (Nord),424 CHF/mois,33 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A24hne65zwhs6ata,2026-09-25,50.628016,3.106796
Lille (Nord),742 CHF/mois,33 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A1hokuln3866fm7s,2026-09-25,50.613,3.046
Lille (Nord),622 CHF/mois,34 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A5r9bwa2e5myminn,2026-09-25,,
Lille (Nord),1 037 CHF/mois,59 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Ac3b08oepdlgkp9e,2026-09-25,50.6492112894394,3.0822460140994856
Lille (Nord),761 CHF/mois,53 m² - 3 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A80j3k644ledivrv,2026-09-25,50.628575,3.0341836
Lille (Nord),460 CHF/mois,30 m²,https://www.vizzit.fr/fr/property/appartement/lille/A2mt957bu4z0rtuq,2026-09-25,,
Lille (Nord),1 143 CHF/mois,85 m² - 3 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Atzr6hsgb97e4t5l,2026-09-25,50.64581,3.05774
Lille (Nord),622 CHF/mois,34 m²,https://www.vizzit.fr/fr/property/appartement/lille/A5h3rm7w1609cids,2026-09-25,,
Lille (Nord),657 CHF/mois,38 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ajlnxt239vm9rrei,2026-09-25,50.620283,3.044379
Lille (Nord),599 CHF/mois,25 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A2lqvx3rxl6ditum,2026-09-25,,
Lille (Nord),500 CHF/mois,14 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Aynpj9d9981x0ili,2026-09-25,50.613,3.046
Lille (Nord),1 290 CHF/mois,92 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/A7ccty0a0sfk9s47,2026-09-25,,
Lille (Nord),540 CHF/mois,31 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Azwteurvgm4q4dsi,2026-09-25,,
Lille (Nord),570 CHF/mois,28 m²,https://www.vizzit.fr/fr/property/appartement/lille/A6gxpjjp02lh4ewp,2026-09-25,,
Lille (Nord),339 CHF/mois,25 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A7dtlzf13tx576ek,2026-09-25,,
Lille (Nord),801 CHF/mois,54 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Aw15ykcoyv80wmvd,2026-09-25,,
